activity_date,facility_id,doctor_id,product_id,activity_type
2024-04-26,F0185,D0001,GLI,面談
2024-04-16,F0234,D0002,GLI,メール
2024-04-02,F0222,D0003,GLI,面談
2024-04-22,F0041,D0004,GLI,面談
2024-04-05,F0041,D0004,GLI,説明会
2024-04-21,F0248,D0005,GLI,面談_アポ
2024-04-20,F0248,D0005,GLI,面談
2024-04-19,F0161,D0006,GLI,面談
2024-04-19,F0161,D0006,GLI,面談
2024-04-18,F0097,D0007,GLI,面談_アポ
2024-04-03,F0155,D0008,GLI,説明会
2024-04-29,F0291,D0009,GLI,面談_アポ
2024-04-08,F0291,D0009,GLI,面談_アポ
2024-04-13,F0258,D0010,GLI,Web面談
2024-04-30,F0258,D0010,GLI,Web面談
2024-04-28,F0251,D0011,GLI,メール
2024-04-23,F0236,D0013,GLI,メール
2024-04-21,F0206,D0015,GLI,面談
2024-04-13,F0192,D0016,GLI,説明会
2024-04-29,F0075,D0017,GLI,メール
2024-04-29,F0080,D0018,GLI,面談_アポ
2024-04-27,F0019,D0019,GLI,説明会
2024-04-09,F0042,D0020,GLI,Web面談
2024-04-02,F0042,D0020,GLI,メール
2024-04-11,F0131,D0021,GLI,Web面談
2024-04-09,F0144,D0022,GLI,メール
2024-04-19,F0126,D0024,GLI,Web面談
2024-04-06,F0126,D0024,GLI,面談
2024-04-12,F0182,D0025,GLI,面談
2024-04-07,F0182,D0025,GLI,メール
2024-04-12,F0070,D0026,GLI,メール
2024-04-19,F0102,D0027,GLI,説明会
2024-04-10,F0111,D0028,GLI,面談
2024-04-07,F0152,D0029,GLI,メール
2024-04-04,F0222,D0031,GLI,面談
2024-04-07,F0222,D0031,GLI,メール
2024-04-16,F0099,D0032,GLI,面談
2024-04-17,F0099,D0032,GLI,面談_アポ
2024-04-19,F0131,D0033,GLI,面談_アポ
2024-04-21,F0131,D0033,GLI,説明会
2024-04-08,F0114,D0034,GLI,面談
2024-04-03,F0114,D0034,GLI,面談
2024-04-28,F0055,D0035,GLI,面談_アポ
2024-04-05,F0206,D0036,GLI,Web面談
2024-04-04,F0071,D0037,GLI,面談
2024-04-16,F0238,D0039,GLI,Web面談
2024-04-26,F0285,D0040,GLI,面談
2024-04-07,F0285,D0040,GLI,メール
2024-04-11,F0202,D0041,GLI,面談
2024-04-23,F0202,D0041,GLI,面談
2024-04-08,F0275,D0042,GLI,メール
2024-04-21,F0257,D0043,GLI,説明会
2024-04-03,F0257,D0043,GLI,面談
2024-04-22,F0145,D0044,GLI,面談
2024-04-02,F0145,D0044,GLI,メール
2024-04-17,F0232,D0045,GLI,Web面談
2024-04-24,F0232,D0045,GLI,面談_アポ
2024-04-26,F0099,D0046,GLI,Web講演会
2024-04-18,F0099,D0046,GLI,面談
2024-04-04,F0139,D0047,GLI,面談
2024-04-03,F0161,D0048,GLI,メール
2024-04-14,F0161,D0048,GLI,メール
2024-04-14,F0147,D0051,GLI,Web面談
2024-04-01,F0147,D0051,GLI,面談
2024-04-18,F0196,D0052,GLI,メール
2024-04-05,F0196,D0052,GLI,面談
2024-04-06,F0061,D0053,GLI,Web講演会
2024-04-12,F0166,D0055,GLI,Web面談
2024-04-27,F0160,D0056,GLI,面談
2024-04-29,F0230,D0057,GLI,メール
2024-04-07,F0190,D0058,GLI,面談
2024-04-23,F0022,D0059,GLI,メール
2024-04-23,F0022,D0059,GLI,面談
2024-04-07,F0054,D0061,GLI,面談
2024-04-06,F0221,D0062,GLI,面談
2024-04-10,F0221,D0062,GLI,説明会
2024-04-13,F0011,D0063,GLI,メール
2024-04-30,F0061,D0064,GLI,面談
2024-04-02,F0180,D0065,GLI,メール
2024-04-16,F0151,D0067,GLI,説明会
2024-04-21,F0151,D0067,GLI,メール
2024-04-08,F0259,D0068,GLI,メール
2024-04-11,F0276,D0069,GLI,メール
2024-04-08,F0276,D0069,GLI,面談
2024-04-14,F0040,D0070,GLI,面談
2024-04-26,F0185,D0072,GLI,面談_アポ
2024-04-18,F0191,D0073,GLI,メール
2024-04-14,F0191,D0073,GLI,Web講演会
2024-04-23,F0029,D0074,GLI,メール
2024-04-27,F0029,D0074,GLI,説明会
2024-04-11,F0187,D0075,GLI,メール
2024-04-13,F0187,D0075,GLI,面談_アポ
2024-04-01,F0218,D0076,GLI,メール
2024-04-29,F0218,D0076,GLI,Web講演会
2024-04-11,F0175,D0077,GLI,面談
2024-04-15,F0026,D0078,GLI,メール
2024-04-10,F0026,D0078,GLI,面談
2024-04-16,F0157,D0079,GLI,メール
2024-04-27,F0218,D0081,GLI,面談
2024-04-09,F0042,D0082,GLI,面談
2024-04-25,F0288,D0083,GLI,面談
2024-04-22,F0051,D0085,GLI,面談
2024-04-13,F0241,D0086,GLI,面談
2024-04-16,F0179,D0088,GLI,メール
