product_id,half_period,solo_fc,solo_sc,solo_spc,solo_other,nonsolo_fc,nonsolo_sc,nonsolo_spc,nonsolo_other
GLI,FY2024-H1,0.3235,0.0476,0.0335,0.0297,0.3573,0.0954,0.0592,0.0538
GLI,FY2024-H2,0.3409,0.0556,0.0277,0.0173,0.3843,0.0875,0.0392,0.0475
GLI,FY2025-H1,0.3356,0.0533,0.0241,0.0103,0.388,0.0963,0.0515,0.0409
GLI,FY2025-H2,0.3362,0.0509,0.022,0.0227,0.3669,0.0922,0.0459,0.0632
GLI,FY2026-H1,0.3512,0.0438,0.0367,0.0118,0.3816,0.0804,0.0418,0.0527
CUV,FY2024-H1,0.3378,0.0516,0.0294,0.018,0.3625,0.0957,0.0471,0.0579
CUV,FY2024-H2,0.3341,0.0375,0.0321,0.0172,0.3638,0.1019,0.057,0.0564
CUV,FY2025-H1,0.3361,0.0487,0.0329,0.0273,0.3732,0.0964,0.043,0.0424
CUV,FY2025-H2,0.3327,0.0574,0.0285,0.0261,0.3596,0.0864,0.0507,0.0586
CUV,FY2026-H1,0.3461,0.0617,0.0118,0.0261,0.3754,0.0911,0.0513,0.0365
HYQ,FY2024-H1,0.3261,0.0521,0.0401,0.0163,0.3617,0.0958,0.056,0.0519
HYQ,FY2024-H2,0.3332,0.0542,0.031,0.0271,0.3695,0.0969,0.0478,0.0403
HYQ,FY2025-H1,0.3438,0.0527,0.0305,0.0187,0.3662,0.0946,0.0484,0.0451
HYQ,FY2025-H2,0.3356,0.0525,0.0429,0.0211,0.3693,0.0928,0.0363,0.0495
HYQ,FY2026-H1,0.3333,0.0655,0.0279,0.0215,0.3599,0.0816,0.0565,0.0538
TAK881,FY2024-H1,0.333,0.0433,0.0395,0.0101,0.3712,0.1144,0.0427,0.0458
TAK881,FY2024-H2,0.3377,0.047,0.0194,0.0207,0.3669,0.1025,0.0441,0.0617
TAK881,FY2025-H1,0.3331,0.0481,0.036,0.0115,0.3745,0.106,0.0391,0.0517
TAK881,FY2025-H2,0.34,0.0553,0.0213,0.0107,0.3728,0.0959,0.0516,0.0524
TAK881,FY2026-H1,0.3337,0.0511,0.0317,0.0148,0.3791,0.0943,0.0412,0.0541
INT,FY2024-H1,0.0905,0.3161,0.037,0.0138,0.1231,0.2747,0.0833,0.0615
INT,FY2024-H2,0.1021,0.3174,0.024,0.0144,0.1205,0.2828,0.0826,0.0562
INT,FY2025-H1,0.1036,0.3225,0.0275,0.0381,0.1215,0.2637,0.0708,0.0523
INT,FY2025-H2,0.1079,0.3264,0.0335,0.0196,0.1146,0.2646,0.0772,0.0562
INT,FY2026-H1,0.1149,0.3151,0.0316,0.023,0.1152,0.2764,0.0814,0.0424
TRI,FY2024-H1,0.447,0.0533,0.047,0.027,0.267,0.0725,0.0529,0.0333
TRI,FY2024-H2,0.4316,0.0728,0.0416,0.0264,0.271,0.078,0.0452,0.0334
