product_id,fiscal_year,n_direct_competitors,note
GLI,FY2026,0,
GLI,FY2027,0,
GLI,FY2028,0,
GLI,FY2029,0,
GLI,FY2030,0,
GLI,FY2031,0,
GLI,FY2032,0,
GLI,FY2033,0,
GLI,FY2034,0,
GLI,FY2035,0,
GLO,FY2026,0,
GLO,FY2027,0,
CUV,FY2026,0,
CUV,FY2027,0,
CUV,FY2028,0,
HYQ,FY2026,0,
HYQ,FY2027,0,
HYQ,FY2028,0,
HYQ,FY2029,0,
HYQ,FY2030,0,
INT,FY2026,0,
TRI,FY2026,0,
TRI,FY2027,0,
TRI,FY2028,0,
TRI,FY2029,0,
TRI,FY2030,0,
TRI,FY2031,0,
ENT,FY2026,0,
ENT,FY2027,0,
ENT,FY2028,0,
ENT,FY2029,0,
ENT,FY2030,0,
ENT,FY2031,0,
ENT,FY2032,0,
ENT,FY2033,0,
ENT,FY2034,0,
ENT,FY2035,0,
OVE,FY2026,0,
OVE,FY2027,0,
OVE,FY2028,0,
OVE,FY2029,0,
OVE,FY2030,0,
Zaso,FY2027,0,
Zaso,FY2028,0,
Zaso,FY2029,0,
Zaso,FY2030,0,
Zaso,FY2031,0,
Zaso,FY2032,0,
Zaso,FY2033,0,
Zaso,FY2034,0,
Zaso,FY2035,0,
REV,FY2026,0,
REV,FY2027,0,
REV,FY2028,0,
REV,FY2029,0,
REV,FY2030,0,
REV,FY2031,0,
REV,FY2032,0,
ALC,FY2026,0,
ALC,FY2027,0,
ALC,FY2028,0,
ALC,FY2029,0,
VYV,FY2026,0,
VYV,FY2027,0,
VYV,FY2028,0,
VYV,FY2029,0,
VYV,FY2030,0,
VYV,FY2031,0,
VYV,FY2032,0,
LVM,FY2026,0,
LVM,FY2027,0,
LVM,FY2028,0,
LVM,FY2029,0,
LVM,FY2030,0,
LVM,FY2031,0,
LVM,FY2032,0,
LVM,FY2033,0,
LVM,FY2034,0,
LVM,FY2035,0,
TKZ,FY2026,0,
TKZ,FY2027,0,
TKZ,FY2028,0,
TKZ,FY2029,0,
TKZ,FY2030,0,
TKZ,FY2031,0,
TKZ,FY2032,0,
VPR,FY2026,0,
VPR,FY2027,0,
VPR,FY2028,0,
VPR,FY2029,0,
VPR,FY2030,0,
VPR,FY2031,0,
VPR,FY2032,0,
RPL,FY2026,0,
RPL,FY2027,0,
RPL,FY2028,0,
RPL,FY2029,0,
RPL,FY2030,0,
RPL,FY2031,0,
RPL,FY2032,0,
RPL,FY2033,0,
RPL,FY2034,0,
RPL,FY2035,0,
FIR,FY2026,0,
FIR,FY2027,0,
FIR,FY2028,0,
FIR,FY2029,0,
FIR,FY2030,0,
FIR,FY2031,0,
FIR,FY2032,0,
Meza,FY2029,0,
Meza,FY2030,0,
Meza,FY2031,0,
Meza,FY2032,0,
Meza,FY2033,0,
Meza,FY2034,0,
Meza,FY2035,0,
VON,FY2026,0,
VON,FY2027,0,
VON,FY2028,0,
VON,FY2029,0,
VON,FY2030,0,
VON,FY2031,0,
VON,FY2032,0,
VON,FY2033,0,
VON,FY2034,0,
VON,FY2035,0,
LIV,FY2026,0,
LIV,FY2027,0,
LIV,FY2028,0,
LIV,FY2029,0,
LIV,FY2030,0,
LIV,FY2031,0,
LIV,FY2032,0,
FEI,FY2026,0,
FEI,FY2027,0,
FEI,FY2028,0,
FEI,FY2029,0,
FEI,FY2030,0,
FEI,FY2031,0,
FEI,FY2032,0,
OBI,FY2028,0,
OBI,FY2029,0,
OBI,FY2030,0,
OBI,FY2031,0,
OBI,FY2032,0,
OBI,FY2033,0,
OBI,FY2034,0,
OBI,FY2035,0,
ADV,FY2026,0,
ADV,FY2027,0,
ADV,FY2028,0,
ADV,FY2029,0,
ADV,FY2030,0,
ADV,FY2031,0,
ADY,FY2026,0,
ADY,FY2027,0,
ADY,FY2028,0,
ADY,FY2029,0,
ADY,FY2030,0,
ADY,FY2031,0,
ADY,FY2032,0,
ADY,FY2033,0,
ADY,FY2034,0,
ADY,FY2035,0,
SYN,FY2031,0,
SYN,FY2032,0,
SYN,FY2033,0,
SYN,FY2034,0,
SYN,FY2035,0,
KLR,FY2033,0,
KLR,FY2034,0,
KLR,FY2035,0,
WSA,FY2029,0,
WSA,FY2030,0,
WSA,FY2031,0,
WSA,FY2032,0,
TAK881,FY2028,0,
TAK881,FY2029,0,
TAK881,FY2030,0,
TAK881,FY2031,0,
TAK881,FY2032,0,
TAK881,FY2033,0,
TAK881,FY2034,0,
TAK881,FY2035,0,
