facility_id,facility_name,prefecture,region
F0001,医療機関0001,兵庫県,近畿
F0002,医療機関0002,千葉県,関東
F0003,医療機関0003,京都府,近畿
F0004,医療機関0004,大阪府,近畿
F0005,医療機関0005,東京都,関東
F0006,医療機関0006,熊本県,九州・沖縄
F0007,医療機関0007,兵庫県,近畿
F0008,医療機関0008,兵庫県,近畿
F0009,医療機関0009,東京都,関東
F0010,医療機関0010,千葉県,関東
F0011,医療機関0011,埼玉県,関東
F0012,医療機関0012,福岡県,九州・沖縄
F0013,医療機関0013,大阪府,近畿
F0014,医療機関0014,京都府,近畿
F0015,医療機関0015,千葉県,関東
F0016,医療機関0016,東京都,関東
F0017,医療機関0017,愛知県,中部
F0018,医療機関0018,宮城県,北海道・東北
F0019,医療機関0019,京都府,近畿
F0020,医療機関0020,大阪府,近畿
F0021,医療機関0021,兵庫県,近畿
F0022,医療機関0022,埼玉県,関東
F0023,医療機関0023,福岡県,九州・沖縄
F0024,医療機関0024,広島県,中国・四国
F0025,医療機関0025,兵庫県,近畿
F0026,医療機関0026,東京都,関東
F0027,医療機関0027,千葉県,関東
F0028,医療機関0028,宮城県,北海道・東北
F0029,医療機関0029,東京都,関東
F0030,医療機関0030,大阪府,近畿
F0031,医療機関0031,兵庫県,近畿
F0032,医療機関0032,福岡県,九州・沖縄
F0033,医療機関0033,神奈川県,関東
F0034,医療機関0034,埼玉県,関東
F0035,医療機関0035,千葉県,関東
F0036,医療機関0036,東京都,関東
F0037,医療機関0037,東京都,関東
F0038,医療機関0038,千葉県,関東
F0039,医療機関0039,東京都,関東
F0040,医療機関0040,大阪府,近畿
F0041,医療機関0041,千葉県,関東
F0042,医療機関0042,京都府,近畿
F0043,医療機関0043,大阪府,近畿
F0044,医療機関0044,神奈川県,関東
F0045,医療機関0045,京都府,近畿
F0046,医療機関0046,兵庫県,近畿
F0047,医療機関0047,埼玉県,関東
F0048,医療機関0048,神奈川県,関東
F0049,医療機関0049,大阪府,近畿
F0050,医療機関0050,東京都,関東
