product_id,channel,alpha,beta_m,ec_m,eta_m,mr_time_weight,slope_m
GLI,面談,0.75,1200,800,1,1,1
GLI,面談_アポ,0.85,1500,600,1.2,1.3,1
GLI,説明会,0.65,900,400,0.8,2,1
GLI,Web講演会,0.6,600,500,0.6,0.3,1
GLI,Webinar,0.5,400,600,0.5,0.2,1
GLI,e-contents,0.3,300,800,0.4,0,1
GLI,メール,0.15,150,200,0.3,0,1
CUV,面談,0.73,950,700,0.95,1,1
CUV,面談_アポ,0.83,1200,520,1.1,1.3,1
CUV,説明会,0.63,720,350,0.78,2,1
CUV,Web講演会,0.58,480,440,0.58,0.3,1
CUV,Webinar,0.48,320,520,0.48,0.2,1
CUV,e-contents,0.28,240,680,0.38,0,1
CUV,メール,0.13,120,180,0.28,0,1
HYQ,面談,0.72,700,500,0.88,1,1
HYQ,面談_アポ,0.82,880,380,1.05,1.3,1
HYQ,説明会,0.62,530,280,0.72,2,1
HYQ,Web講演会,0.56,350,350,0.52,0.3,1
HYQ,Webinar,0.46,240,420,0.42,0.2,1
HYQ,e-contents,0.26,180,560,0.34,0,1
HYQ,メール,0.12,90,160,0.25,0,1
INT,面談,0.75,1350,1100,1.05,1,1
INT,面談_アポ,0.85,1700,820,1.25,1.3,1
INT,説明会,0.65,1020,560,0.85,2,1
INT,Web講演会,0.62,680,640,0.65,0.3,1
INT,Webinar,0.52,460,720,0.55,0.2,1
INT,e-contents,0.32,340,960,0.44,0,1
INT,メール,0.16,170,240,0.33,0,1
TRI,面談,0.75,1450,1000,1.08,1,1
TRI,面談_アポ,0.85,1820,750,1.28,1.3,1
TRI,説明会,0.65,1090,480,0.88,2,1
TRI,Web講演会,0.62,720,580,0.66,0.3,1
TRI,Webinar,0.52,480,660,0.56,0.2,1
TRI,e-contents,0.32,360,880,0.45,0,1
TRI,メール,0.16,180,220,0.34,0,1
ENT,面談,0.75,1450,1000,1.08,1,1
ENT,面談_アポ,0.85,1820,750,1.28,1.3,1
ENT,説明会,0.65,1090,480,0.88,2,1
ENT,Web講演会,0.62,720,580,0.66,0.3,1
ENT,Webinar,0.52,480,660,0.56,0.2,1
ENT,e-contents,0.32,360,880,0.45,0,1
ENT,メール,0.16,180,220,0.34,0,1
LIV,面談,0.72,800,650,0.92,1,1
LIV,面談_アポ,0.82,1000,490,1.1,1.3,1
LIV,説明会,0.62,600,330,0.76,2,1
LIV,Web講演会,0.58,400,400,0.58,0.3,1
LIV,Webinar,0.48,270,480,0.48,0.2,1
LIV,e-contents,0.28,200,640,0.38,0,1
LIV,メール,0.13,100,190,0.28,0,1
REV,面談,0.72,700,580,0.9,1,1
REV,面談_アポ,0.82,880,430,1.08,1.3,1
REV,説明会,0.62,530,300,0.74,2,1
REV,Web講演会,0.57,350,360,0.56,0.3,1
REV,Webinar,0.47,240,440,0.46,0.2,1
REV,e-contents,0.27,180,580,0.36,0,1
REV,メール,0.13,90,180,0.27,0,1
ALC,面談,0.7,580,460,0.82,1,1
ALC,面談_アポ,0.8,730,345,0.98,1.3,1
ALC,説明会,0.6,435,245,0.68,2,1
ALC,Web講演会,0.55,290,300,0.52,0.3,1
ALC,Webinar,0.45,195,360,0.43,0.2,1
ALC,e-contents,0.25,145,480,0.34,0,1
ALC,メール,0.12,73,150,0.25,0,1
VYV,面談,0.72,700,580,0.9,1,1
VYV,面談_アポ,0.82,880,435,1.08,1.3,1
VYV,説明会,0.62,530,310,0.74,2,1
VYV,Web講演会,0.57,350,370,0.56,0.3,1
