product_id,fiscal_year,r_doctors,w_doctors
GLO,FY2026,120,360
GLO,FY2027,30,90
GLO,FY2028,0,0
GLO,FY2029,0,0
GLO,FY2030,0,0
GLO,FY2031,0,0
GLO,FY2032,0,0
GLO,FY2033,0,0
GLO,FY2034,0,0
GLO,FY2035,0,0
OVE,FY2026,1689,4947
OVE,FY2027,1275,3725
OVE,FY2028,1147,3353
OVE,FY2029,1020,2980
OVE,FY2030,1020,2980
Zaso,FY2027,1150,3450
Zaso,FY2028,1150,3450
Zaso,FY2029,1150,3450
Zaso,FY2030,1150,3450
Zaso,FY2031,1150,3450
Zaso,FY2032,1150,3450
Zaso,FY2033,1150,3450
Zaso,FY2034,1150,3450
Zaso,FY2035,1150,3450
WSA,FY2029,80,240
WSA,FY2030,150,450
WSA,FY2031,240,720
WSA,FY2032,300,890
INT,FY2026,1400,4000
INT,FY2027,0,0
INT,FY2028,0,0
INT,FY2029,0,0
INT,FY2030,0,0
INT,FY2031,0,0
INT,FY2032,0,0
INT,FY2033,0,0
INT,FY2034,0,0
INT,FY2035,0,0
ALC,FY2028,160,480
ALC,FY2029,60,180
ALC,FY2030,0,0
ALC,FY2031,0,0
ALC,FY2032,0,0
ALC,FY2033,0,0
ALC,FY2034,0,0
ALC,FY2035,0,0
TRI,FY2031,700,2000
TRI,FY2032,0,0
TRI,FY2033,0,0
TRI,FY2034,0,0
TRI,FY2035,0,0
ENT,FY2027,1300,3700
ENT,FY2028,1200,3400
ENT,FY2029,1100,3100
ENT,FY2030,1000,2800
ENT,FY2031,900,2500
ENT,FY2032,900,2500
ENT,FY2033,715,2035
ENT,FY2034,715,2035
ENT,FY2035,715,2035
VPR,FY2032,350,1100
VPR,FY2033,0,0
VPR,FY2034,0,0
VPR,FY2035,0,0
LIV,FY2032,550,1500
LIV,FY2033,0,0
LIV,FY2034,0,0
LIV,FY2035,0,0
REV,FY2032,200,600
REV,FY2033,0,0
REV,FY2034,0,0
REV,FY2035,0,0
VYV,FY2032,450,1350
VYV,FY2033,0,0
VYV,FY2034,0,0
VYV,FY2035,0,0
TKZ,FY2032,75,225
TKZ,FY2033,0,0
TKZ,FY2034,0,0
TKZ,FY2035,0,0
HYQ,FY2028,0,0
HYQ,FY2029,0,0
HYQ,FY2030,0,0
HYQ,FY2031,0,0
HYQ,FY2032,0,0
HYQ,FY2033,0,0
HYQ,FY2034,0,0
HYQ,FY2035,0,0
CUV,FY2028,0,0
CUV,FY2029,0,0
CUV,FY2030,0,0
CUV,FY2031,0,0
CUV,FY2032,0,0
CUV,FY2033,0,0
CUV,FY2034,0,0
CUV,FY2035,0,0
FIR,FY2033,0,0
FIR,FY2034,0,0
FIR,FY2035,0,0
FEI,FY2032,90,270
FEI,FY2033,0,0
FEI,FY2034,0,0
FEI,FY2035,0,0
ADV,FY2031,0,0
ADV,FY2032,0,0
ADV,FY2033,0,0
ADV,FY2034,0,0
ADV,FY2035,0,0
SYN,FY2026,0,0
SYN,FY2027,0,0
SYN,FY2028,0,0
SYN,FY2029,0,0
SYN,FY2030,0,0
SYN,FY2031,120,360
SYN,FY2032,200,600
SYN,FY2033,260,780
SYN,FY2034,300,900
SYN,FY2035,320,960
KLR,FY2026,0,0
KLR,FY2027,0,0
KLR,FY2028,0,0
KLR,FY2029,0,0
KLR,FY2030,0,0
KLR,FY2031,0,0
KLR,FY2032,0,0
KLR,FY2033,30,90
KLR,FY2034,60,180
KLR,FY2035,80,240
OBI,FY2026,0,0
OBI,FY2027,0,0
OBI,FY2028,60,180
OBI,FY2029,100,300
OBI,FY2030,140,420
OBI,FY2031,160,480
OBI,FY2032,175,525
OBI,FY2033,175,525
OBI,FY2034,175,525
OBI,FY2035,175,525
Meza,FY2026,0,0
Meza,FY2027,0,0
Meza,FY2028,0,0
Meza,FY2029,87,261
Meza,FY2030,87,261
Meza,FY2031,87,261
Meza,FY2032,87,261
Meza,FY2033,87,261
Meza,FY2034,87,261
Meza,FY2035,87,261
