product_id,r_doctors,w_doctors,r_visit_freq,w_visit_freq
GLI,1200,3000,2.0,1.0
CUV,800,2500,2.0,1.0
HYQ,500,1700,2.0,1.0
INT,1400,4000,2.0,1.0
TRI,1300,3700,2.0,1.0
ENT,1300,3700,2.0,1.0
LIV,800,2200,2.0,1.0
REV,200,600,2.0,1.0
ALC,200,600,2.0,1.0
VYV,130,390,2.0,1.0
VPR,200,600,2.0,1.0
LVM,200,600,2.0,1.0
TKZ,150,450,2.0,1.0
RPL,50,150,2.0,1.0
FIR,40,120,2.0,1.0
VON,175,525,2.0,1.0
FEI,175,525,2.0,1.0
ADV,175,525,2.0,1.0
ADY,175,525,2.0,1.0
GLO,180,540,2.0,1.0
OVE,280,820,2.0,1.0
Zaso,1150,3450,2.0,1.0
WSA,300,890,2.0,1.0
SYN,300,900,2.0,1.0
KLR,175,525,2.0,1.0
OBI,175,525,2.0,1.0
Meza,90,270,2.0,1.0
