product_id,fiscal_year,rw_tier,target_freq,achievement_rate
ALC,FY2026,R,0.3,0.75
ALC,FY2026,W,0.1,0.65
ALC,FY2027,R,0.3,0.75
ALC,FY2027,W,0.1,0.65
ALC,FY2028,R,0.3,0.75
ALC,FY2028,W,0.1,0.65
ALC,FY2029,R,0.3,0.75
ALC,FY2029,W,0.1,0.65
ALC,FY2030,R,0,0
ALC,FY2030,W,0,0
ALC,FY2031,R,0,0
ALC,FY2031,W,0,0
ALC,FY2032,R,0,0
ALC,FY2032,W,0,0
ALC,FY2033,R,0,0
ALC,FY2033,W,0,0
ALC,FY2034,R,0,0
ALC,FY2034,W,0,0
ALC,FY2035,R,0,0
ALC,FY2035,W,0,0
CUV,FY2026,R,1,0.75
CUV,FY2026,W,0.5,0.65
CUV,FY2027,R,1,0.75
CUV,FY2027,W,0.5,0.65
CUV,FY2028,R,1,0.75
CUV,FY2028,W,0.5,0.65
CUV,FY2029,R,0,0
CUV,FY2029,W,0,0
CUV,FY2030,R,0,0
CUV,FY2030,W,0,0
CUV,FY2031,R,0,0
CUV,FY2031,W,0,0
CUV,FY2032,R,0,0
CUV,FY2032,W,0,0
CUV,FY2033,R,0,0
CUV,FY2033,W,0,0
CUV,FY2034,R,0,0
CUV,FY2034,W,0,0
CUV,FY2035,R,0,0
CUV,FY2035,W,0,0
ENT,FY2026,R,3,0.8
ENT,FY2026,W,1.5,0.7
ENT,FY2027,R,3,0.8
ENT,FY2027,W,1.5,0.7
ENT,FY2028,R,3,0.8
ENT,FY2028,W,1.5,0.7
ENT,FY2029,R,3,0.8
ENT,FY2029,W,1.5,0.7
ENT,FY2030,R,3,0.8
ENT,FY2030,W,1.5,0.7
ENT,FY2031,R,3,0.8
ENT,FY2031,W,1.5,0.7
ENT,FY2032,R,3,0.8
ENT,FY2032,W,1.5,0.7
ENT,FY2033,R,1.5,0.65
ENT,FY2033,W,0.8,0.55
ENT,FY2034,R,1.5,0.65
ENT,FY2034,W,0.8,0.55
ENT,FY2035,R,1.5,0.65
ENT,FY2035,W,0.8,0.55
GLI,FY2026,R,0.8,0.75
GLI,FY2026,W,0.4,0.65
GLI,FY2027,R,0.8,0.75
GLI,FY2027,W,0.4,0.65
GLI,FY2028,R,0.8,0.75
GLI,FY2028,W,0.4,0.65
GLI,FY2029,R,0.8,0.75
GLI,FY2029,W,0.4,0.65
GLI,FY2030,R,0.8,0.75
GLI,FY2030,W,0.4,0.65
GLI,FY2031,R,0.8,0.75
GLI,FY2031,W,0.4,0.65
GLI,FY2032,R,0.8,0.75
GLI,FY2032,W,0.4,0.65
GLI,FY2033,R,0.8,0.75
GLI,FY2033,W,0.4,0.65
GLI,FY2034,R,0.8,0.75
GLI,FY2034,W,0.4,0.65
GLI,FY2035,R,0.8,0.75
GLI,FY2035,W,0.4,0.65
GLO,FY2026,R,0.8,0.5
GLO,FY2026,W,0.4,0.4
GLO,FY2027,R,0.8,0.75
GLO,FY2027,W,0.4,0.65
GLO,FY2028,R,0,0
GLO,FY2028,W,0,0
GLO,FY2029,R,0,0
GLO,FY2029,W,0,0
GLO,FY2030,R,0,0
GLO,FY2030,W,0,0
GLO,FY2031,R,0,0
GLO,FY2031,W,0,0
GLO,FY2032,R,0,0
GLO,FY2032,W,0,0
GLO,FY2033,R,0,0
GLO,FY2033,W,0,0
GLO,FY2034,R,0,0
GLO,FY2034,W,0,0
GLO,FY2035,R,0,0
GLO,FY2035,W,0,0
HYQ,FY2026,R,1,0.75
HYQ,FY2026,W,0.5,0.65
HYQ,FY2027,R,1,0.75
HYQ,FY2027,W,0.5,0.65
HYQ,FY2028,R,1,0.75
HYQ,FY2028,W,0.5,0.65
HYQ,FY2029,R,1,0.75
HYQ,FY2029,W,0.5,0.65
HYQ,FY2030,R,1,0.75
HYQ,FY2030,W,0.5,0.65
HYQ,FY2031,R,1,0.75
HYQ,FY2031,W,0.5,0.65
HYQ,FY2032,R,1,0.75
HYQ,FY2032,W,0.5,0.65
HYQ,FY2033,R,1,0.75
HYQ,FY2033,W,0.5,0.65
HYQ,FY2034,R,1,0.75
HYQ,FY2034,W,0.5,0.65
HYQ,FY2035,R,1,0.75
HYQ,FY2035,W,0.5,0.65
INT,FY2026,R,0,0
INT,FY2026,W,0.5,0.65
INT,FY2027,R,0,0
INT,FY2027,W,0,0
INT,FY2028,R,0,0
INT,FY2028,W,0,0
INT,FY2029,R,0,0
INT,FY2029,W,0,0
INT,FY2030,R,0,0
INT,FY2030,W,0,0
INT,FY2031,R,0,0
INT,FY2031,W,0,0
INT,FY2032,R,0,0
INT,FY2032,W,0,0
INT,FY2033,R,0,0
INT,FY2033,W,0,0
INT,FY2034,R,0,0
INT,FY2034,W,0,0
INT,FY2035,R,0,0
INT,FY2035,W,0,0
LIV,FY2026,R,1,0.75
LIV,FY2026,W,0.6,0.65
LIV,FY2027,R,1,0.75
LIV,FY2027,W,0.6,0.65
LIV,FY2028,R,1,0.75
LIV,FY2028,W,0.6,0.65
LIV,FY2029,R,1,0.75
LIV,FY2029,W,0.6,0.65
LIV,FY2030,R,1,0.75
LIV,FY2030,W,0.6,0.65
LIV,FY2031,R,1,0.75
LIV,FY2031,W,0.6,0.65
LIV,FY2032,R,1,0.75
LIV,FY2032,W,0.6,0.65
LIV,FY2033,R,0,0
LIV,FY2033,W,0,0
LIV,FY2034,R,0,0
LIV,FY2034,W,0,0
LIV,FY2035,R,0,0
LIV,FY2035,W,0,0
LVM,FY2026,R,1.5,0.8
LVM,FY2026,W,0.8,0.7
LVM,FY2027,R,1.5,0.8
LVM,FY2027,W,0.8,0.7
LVM,FY2028,R,1.5,0.8
LVM,FY2028,W,0.8,0.7
LVM,FY2029,R,1.5,0.8
LVM,FY2029,W,0.8,0.7
LVM,FY2030,R,1.5,0.8
LVM,FY2030,W,0.8,0.7
LVM,FY2031,R,1.5,0.8
LVM,FY2031,W,0.8,0.7
LVM,FY2032,R,1.5,0.8
LVM,FY2032,W,0.8,0.7
LVM,FY2033,R,1.5,0.8
LVM,FY2033,W,0.8,0.7
LVM,FY2034,R,1.5,0.8
LVM,FY2034,W,0.8,0.7
LVM,FY2035,R,1.5,0.8
LVM,FY2035,W,0.8,0.7
OVE,FY2026,R,2,0.70
OVE,FY2026,W,1,0.60
OVE,FY2027,R,2,0.6
OVE,FY2027,W,1,0.5
OVE,FY2028,R,2,0.75
OVE,FY2028,W,1,0.65
OVE,FY2029,R,2,0.75
OVE,FY2029,W,1,0.65
OVE,FY2030,R,2,0.75
OVE,FY2030,W,1,0.65
OVE,FY2031,R,2,0.75
OVE,FY2031,W,1,0.65
OVE,FY2032,R,1,0.75
OVE,FY2032,W,0.7,0.65
OVE,FY2033,R,1,0.75
OVE,FY2033,W,0.7,0.65
OVE,FY2034,R,1,0.75
OVE,FY2034,W,0.7,0.65
OVE,FY2035,R,1,0.75
OVE,FY2035,W,0.7,0.65
REV,FY2026,R,0.5,0.75
REV,FY2026,W,0,0
REV,FY2027,R,0.5,0.75
REV,FY2027,W,0,0
REV,FY2028,R,0.5,0.75
REV,FY2028,W,0,0
REV,FY2029,R,0.5,0.75
REV,FY2029,W,0,0
REV,FY2030,R,0.5,0.75
REV,FY2030,W,0,0
REV,FY2031,R,0.5,0.75
REV,FY2031,W,0,0
REV,FY2032,R,0.5,0.75
REV,FY2032,W,0,0
REV,FY2033,R,0,0
REV,FY2033,W,0,0
REV,FY2034,R,0,0
REV,FY2034,W,0,0
REV,FY2035,R,0,0
REV,FY2035,W,0,0
RPL,FY2026,R,1.5,0.8
RPL,FY2026,W,0.8,0.7
RPL,FY2027,R,1.5,0.8
RPL,FY2027,W,0.8,0.7
RPL,FY2028,R,1.5,0.8
RPL,FY2028,W,0.8,0.7
RPL,FY2029,R,1.5,0.8
RPL,FY2029,W,0.8,0.7
RPL,FY2030,R,1.5,0.8
RPL,FY2030,W,0.8,0.7
RPL,FY2031,R,1.5,0.8
RPL,FY2031,W,0.8,0.7
RPL,FY2032,R,1.5,0.8
RPL,FY2032,W,0.8,0.7
RPL,FY2033,R,1.5,0.8
RPL,FY2033,W,0.8,0.7
RPL,FY2034,R,1.5,0.8
RPL,FY2034,W,0.8,0.7
RPL,FY2035,R,1.5,0.8
RPL,FY2035,W,0.8,0.7
TKZ,FY2026,R,1.5,0.8
TKZ,FY2026,W,0.8,0.7
TKZ,FY2027,R,1.5,0.8
TKZ,FY2027,W,0.8,0.7
TKZ,FY2028,R,1.5,0.8
TKZ,FY2028,W,0.8,0.7
TKZ,FY2029,R,1.5,0.8
TKZ,FY2029,W,0.8,0.7
TKZ,FY2030,R,1.5,0.8
TKZ,FY2030,W,0.8,0.7
TKZ,FY2031,R,1.5,0.8
TKZ,FY2031,W,0.8,0.7
TKZ,FY2032,R,0,0
TKZ,FY2032,W,0,0
TKZ,FY2033,R,0,0
TKZ,FY2033,W,0,0
TKZ,FY2034,R,0,0
TKZ,FY2034,W,0,0
