delivery_date,facility_id,product_id,amount,quantity
2024-04-15,F0111,GLI,7286000,6072
2024-04-15,F0004,GLI,5934000,4945
2024-04-15,F0091,GLI,6924000,5770
2024-04-15,F0184,GLI,4883000,4069
2024-04-15,F0262,GLI,1451000,1209
2024-04-15,F0024,GLI,8573000,7144
2024-04-15,F0268,GLI,193000,161
2024-04-15,F0187,GLI,10327000,8606
2024-04-15,F0060,GLI,949000,791
2024-04-15,F0223,GLI,4767000,3973
2024-04-15,F0013,GLI,3491000,2909
2024-04-15,F0132,GLI,2370000,1975
2024-04-15,F0177,GLI,14692000,12243
2024-04-15,F0068,GLI,374000,312
2024-04-15,F0125,GLI,3601000,3001
2024-04-15,F0118,GLI,5034000,4195
2024-04-15,F0148,GLI,6719000,5599
2024-04-15,F0040,GLI,6841000,5701
2024-04-15,F0116,GLI,12533000,10444
2024-04-15,F0222,GLI,3500000,2917
2024-04-15,F0235,GLI,5696000,4747
2024-04-15,F0220,GLI,2794000,2328
2024-04-15,F0253,GLI,357000,298
2024-04-15,F0176,GLI,32009000,26674
2024-04-15,F0088,GLI,3674000,3062
2024-04-15,F0100,GLI,20072000,16727
2024-04-15,F0169,GLI,1482000,1235
2024-04-15,F0070,GLI,8832000,7360
2024-04-15,F0150,GLI,1834000,1528
2024-04-15,F0032,GLI,827000,689
2024-04-15,F0097,GLI,2620000,2183
2024-04-15,F0048,GLI,785000,654
2024-04-15,F0205,GLI,6013000,5011
2024-04-15,F0027,GLI,4247000,3539
2024-04-15,F0136,GLI,1233000,1028
2024-04-15,F0072,GLI,6795000,5663
2024-04-15,F0296,GLI,10914000,9095
2024-04-15,F0270,GLI,6297000,5248
2024-04-15,F0075,GLI,21019000,17516
2024-04-15,F0244,GLI,3402000,2835
2024-04-15,F0034,GLI,5180000,4317
2024-04-15,F0274,GLI,617000,514
2024-04-15,F0058,GLI,31080000,25900
2024-04-15,F0293,GLI,5171000,4309
2024-04-15,F0119,GLI,1642000,1368
2024-04-15,F0064,GLI,10658000,8882
2024-04-15,F0284,GLI,3982000,3318
2024-04-15,F0041,GLI,1058000,882
2024-04-15,F0014,GLI,2968000,2473
2024-04-15,F0051,GLI,12513000,10428
2024-04-15,F0154,GLI,2176000,1813
2024-04-15,F0109,GLI,7780000,6483
2024-04-15,F0180,GLI,30953000,25794
2024-04-15,F0073,GLI,567000,472
2024-04-15,F0181,GLI,4653000,3878
2024-04-15,F0211,GLI,1518000,1265
2024-04-15,F0053,GLI,4071000,3392
2024-04-15,F0127,GLI,8086000,6738
2024-04-15,F0179,GLI,4952000,4127
2024-04-15,F0093,GLI,4600000,3833
2024-04-15,F0156,GLI,5979000,4982
2024-04-15,F0168,GLI,7093000,5911
2024-04-15,F0105,GLI,1172000,977
2024-04-15,F0083,GLI,3678000,3065
2024-04-15,F0161,GLI,11437000,9531
2024-04-15,F0232,GLI,2306000,1922
2024-04-15,F0286,GLI,1957000,1631
2024-04-15,F0104,GLI,1345000,1121
2024-04-15,F0102,GLI,5122000,4268
2024-04-15,F0198,GLI,16297000,13581
2024-04-15,F0144,GLI,3792000,3160
2024-04-15,F0157,GLI,3442000,2868
2024-04-15,F0138,GLI,4598000,3832
2024-04-15,F0188,GLI,8868000,7390
2024-04-15,F0141,GLI,4826000,4022
2024-04-15,F0200,GLI,6619000,5516
2024-04-15,F0002,GLI,23720000,19767
2024-04-15,F0103,GLI,8192000,6827
2024-04-15,F0213,GLI,6586000,5488
2024-04-15,F0050,GLI,5698000,4748
2024-04-15,F0153,GLI,6981000,5818
2024-04-15,F0261,GLI,6375000,5312
2024-04-15,F0241,GLI,6559000,5466
2024-04-15,F0076,GLI,14532000,12110
2024-04-15,F0123,GLI,1463000,1219
2024-04-15,F0077,GLI,5622000,4685
2024-04-15,F0196,GLI,10218000,8515
2024-04-15,F0204,GLI,461000,384
2024-04-15,F0140,GLI,17181000,14318
2024-04-15,F0272,GLI,264000,220
2024-04-15,F0273,GLI,328000,273
2024-04-15,F0049,GLI,8282000,6902
2024-04-15,F0003,GLI,12766000,10638
2024-04-15,F0259,GLI,7602000,6335
2024-04-15,F0239,GLI,15947000,13289
2024-04-15,F0082,GLI,5041000,4201
2024-04-15,F0084,GLI,5065000,4221
2024-04-15,F0192,GLI,10874000,9062
2024-04-15,F0278,GLI,10206000,8505
2024-04-15,F0162,GLI,10848000,9040
2024-04-15,F0215,GLI,23843000,19869
2024-04-15,F0281,GLI,4988000,4157
2024-04-15,F0279,GLI,5514000,4595
2024-04-15,F0155,GLI,5566000,4638
2024-04-15,F0257,GLI,1643000,1369
2024-04-15,F0295,GLI,16797000,13998
2024-04-15,F0031,GLI,2824000,2353
2024-04-15,F0193,GLI,5189000,4324
2024-04-15,F0185,GLI,2412000,2010
2024-04-15,F0098,GLI,3010000,2508
2024-04-15,F0018,GLI,1406000,1172
2024-04-15,F0164,GLI,1296000,1080
2024-04-15,F0143,GLI,3948000,3290
2024-04-15,F0234,GLI,2466000,2055
2024-04-15,F0258,GLI,3176000,2647
2024-04-15,F0066,GLI,2380000,1983
2024-04-15,F0106,GLI,7110000,5925
2024-04-15,F0139,GLI,12725000,10604
2024-04-15,F0038,GLI,830000,692
2024-04-15,F0195,GLI,19035000,15862
2024-04-15,F0280,GLI,14234000,11862
2024-04-15,F0207,GLI,12187000,10156
2024-04-15,F0022,GLI,1803000,1502
2024-04-15,F0129,GLI,1295000,1079
2024-04-15,F0099,GLI,1711000,1426
2024-04-15,F0167,GLI,4141000,3451
2024-04-15,F0131,GLI,5596000,4663
2024-04-15,F0037,GLI,849000,708
2024-04-15,F0121,GLI,5532000,4610
2024-04-15,F0065,GLI,1585000,1321
2024-04-15,F0126,GLI,18809000,15674
2024-04-15,F0087,GLI,40874000,34062
2024-04-15,F0029,GLI,3219000,2682
2024-04-15,F0254,GLI,9731000,8109
2024-04-15,F0158,GLI,2369000,1974
2024-04-15,F0047,GLI,11634000,9695
2024-04-15,F0074,GLI,3171000,2642
2024-04-15,F0231,GLI,2110000,1758
2024-04-15,F0209,GLI,1323000,1102
2024-04-15,F0300,GLI,1590000,1325
2024-04-15,F0028,GLI,66000,55
2024-04-15,F0246,GLI,2534000,2112
2024-04-15,F0042,GLI,3465000,2888
2024-04-15,F0006,GLI,2238000,1865
2024-04-15,F0149,GLI,1028000,857
2024-04-15,F0172,GLI,5605000,4671
2024-04-15,F0256,GLI,946000,788
2024-04-15,F0147,GLI,3482000,2902
2024-04-15,F0052,GLI,661000,551
2024-04-15,F0182,GLI,12660000,10550
2024-04-15,F0061,GLI,6714000,5595
2024-04-15,F0112,GLI,7161000,5968
2024-04-15,F0175,GLI,3140000,2617
2024-04-15,F0135,GLI,1471000,1226
2024-04-15,F0297,GLI,2670000,2225
2024-04-15,F0079,GLI,1033000,861
2024-04-15,F0275,GLI,1088000,907
2024-04-15,F0199,GLI,16944000,14120
2024-04-15,F0217,GLI,5722000,4768
2024-04-15,F0230,GLI,11404000,9503
2024-04-15,F0043,GLI,867000,722
2024-04-15,F0171,GLI,1380000,1150
2024-04-15,F0225,GLI,3410000,2842
2024-04-15,F0206,GLI,1434000,1195
2024-04-15,F0292,GLI,12051000,10042
2024-04-15,F0020,GLI,1226000,1022
2024-04-15,F0039,GLI,3060000,2550
2024-04-15,F0117,GLI,8035000,6696
2024-04-15,F0174,GLI,9200000,7667
2024-04-15,F0133,GLI,2620000,2183
2024-04-15,F0026,GLI,2426000,2022
2024-04-15,F0236,GLI,353000,294
2024-04-15,F0045,GLI,6469000,5391
2024-04-15,F0243,GLI,5600000,4667
