activity_date,facility_id,doctor_id,product_id,activity_type
2024-04-09,F0026,D0728,GLI,webinar
2024-04-09,F0239,D1017,GLI,webinar
2024-04-09,F0219,D0131,GLI,webinar
2024-04-09,F0283,D1237,GLI,webinar
2024-04-09,F0132,D0156,GLI,webinar
2024-04-09,F0235,D0612,GLI,webinar
2024-04-09,F0157,D0410,GLI,webinar
2024-04-09,F0254,D0123,GLI,webinar
2024-04-09,F0103,D1374,GLI,webinar
2024-04-09,F0280,D1151,GLI,webinar
2024-04-09,F0011,D1083,GLI,webinar
2024-04-09,F0066,D0364,GLI,webinar
2024-04-09,F0179,D0750,GLI,webinar
2024-04-09,F0210,D0332,GLI,webinar
2024-04-09,F0151,D0453,GLI,webinar
2024-04-09,F0241,D0086,GLI,webinar
2024-04-09,F0288,D0454,GLI,webinar
2024-04-09,F0234,D1131,GLI,webinar
2024-04-09,F0176,D1028,GLI,webinar
2024-04-09,F0233,D1011,GLI,webinar
2024-04-09,F0203,D0674,GLI,webinar
2024-04-09,F0282,D0847,GLI,webinar
2024-04-09,F0025,D0761,GLI,webinar
2024-04-09,F0174,D0330,GLI,webinar
2024-04-09,F0069,D0903,GLI,webinar
2024-04-09,F0125,D1288,GLI,webinar
2024-04-09,F0207,D0462,GLI,webinar
2024-04-09,F0296,D1107,GLI,webinar
2024-04-09,F0016,D1042,GLI,webinar
2024-04-09,F0174,D1027,GLI,webinar
2024-04-09,F0099,D1315,GLI,webinar
2024-04-09,F0021,D1169,GLI,webinar
2024-04-09,F0081,D1073,GLI,webinar
2024-04-09,F0172,D1031,GLI,webinar
2024-04-09,F0011,D1309,GLI,webinar
2024-04-09,F0183,D1352,GLI,webinar
2024-04-09,F0122,D1266,GLI,webinar
2024-04-09,F0275,D1351,GLI,webinar
2024-04-09,F0157,D1086,GLI,webinar
2024-04-09,F0103,D1378,GLI,webinar
2024-04-09,F0080,D1021,GLI,webinar
2024-04-09,F0277,D0133,GLI,webinar
2024-04-09,F0158,D0397,GLI,webinar
2024-04-09,F0099,D0495,GLI,webinar
2024-04-09,F0138,D0955,GLI,webinar
2024-04-09,F0080,D1101,GLI,webinar
2024-04-09,F0074,D0389,GLI,webinar
2024-04-09,F0275,D0907,GLI,webinar
2024-04-09,F0119,D0878,GLI,webinar
2024-04-09,F0227,D0473,GLI,webinar
2024-04-09,F0196,D0386,GLI,webinar
2024-04-09,F0118,D0573,GLI,webinar
2024-04-09,F0177,D0556,GLI,webinar
2024-04-09,F0178,D0718,GLI,webinar
