doctor_id,facility_id,age
D0001,F0185,37
D0002,F0234,63
D0003,F0222,48
D0004,F0041,43
D0005,F0248,47
D0006,F0161,41
D0007,F0097,60
D0008,F0155,64
D0009,F0291,35
D0010,F0258,55
D0011,F0251,43
D0012,F0139,34
D0013,F0236,62
D0014,F0116,34
D0015,F0206,39
D0016,F0192,33
D0017,F0075,48
D0018,F0080,52
D0019,F0019,43
D0020,F0042,35
D0021,F0131,36
D0022,F0144,62
D0023,F0050,58
D0024,F0126,62
D0025,F0182,49
D0026,F0070,50
D0027,F0102,58
D0028,F0111,52
D0029,F0152,46
D0030,F0110,42
D0031,F0222,48
D0032,F0099,35
D0033,F0131,39
D0034,F0114,56
D0035,F0055,60
D0036,F0206,36
D0037,F0071,36
D0038,F0090,35
D0039,F0238,58
D0040,F0285,42
D0041,F0202,43
D0042,F0275,33
D0043,F0257,64
D0044,F0145,46
D0045,F0232,58
D0046,F0099,55
D0047,F0139,37
D0048,F0161,58
D0049,F0289,50
D0050,F0255,52
D0051,F0147,39
D0052,F0196,60
D0053,F0061,62
D0054,F0242,46
D0055,F0166,35
D0056,F0160,60
D0057,F0230,61
D0058,F0190,49
D0059,F0022,51
D0060,F0087,40
D0061,F0054,35
D0062,F0221,63
D0063,F0011,48
D0064,F0061,41
D0065,F0180,55
D0066,F0209,33
D0067,F0151,35
D0068,F0259,40
D0069,F0276,47
D0070,F0040,44
D0071,F0286,38
D0072,F0185,44
D0073,F0191,43
D0074,F0029,49
D0075,F0187,51
D0076,F0218,61
D0077,F0175,58
D0078,F0026,42
D0079,F0157,61
D0080,F0281,49
D0081,F0218,39
D0082,F0042,43
D0083,F0288,56
D0084,F0288,59
D0085,F0051,44
D0086,F0241,38
D0087,F0123,39
D0088,F0179,36
D0089,F0134,55
D0090,F0235,49
D0091,F0299,47
D0092,F0239,54
D0093,F0280,59
D0094,F0284,58
D0095,F0028,37
D0096,F0077,51
D0097,F0217,61
D0098,F0178,57
D0099,F0016,43
D0100,F0029,45
D0101,F0157,61
D0102,F0185,34
D0103,F0051,49
D0104,F0052,36
D0105,F0039,61
D0106,F0170,34
D0107,F0003,33
D0108,F0172,43
D0109,F0143,39
D0110,F0140,48
D0111,F0204,42
D0112,F0157,44
D0113,F0219,51
D0114,F0230,50
D0115,F0277,62
D0116,F0240,48
D0117,F0156,51
D0118,F0148,54
D0119,F0071,38
D0120,F0180,54
D0121,F0042,60
D0122,F0280,43
D0123,F0254,38
D0124,F0036,44
D0125,F0236,41
D0126,F0036,51
D0127,F0217,60
D0128,F0027,52
D0129,F0147,37
D0130,F0198,43
D0131,F0219,55
D0132,F0126,43
D0133,F0277,51
D0134,F0233,55
D0135,F0063,43
D0136,F0202,53
D0137,F0220,45
D0138,F0101,37
D0139,F0222,44
D0140,F0270,47
D0141,F0246,33
D0142,F0229,61
D0143,F0191,49
D0144,F0082,34
D0145,F0239,60
D0146,F0110,60
D0147,F0160,33
D0148,F0095,38
D0149,F0094,44
D0150,F0048,49
D0151,F0289,56
D0152,F0045,46
D0153,F0026,52
D0154,F0281,33
D0155,F0167,54
D0156,F0132,62
D0157,F0222,49
D0158,F0115,47
D0159,F0039,42
D0160,F0219,63
D0161,F0053,34
D0162,F0166,42
D0163,F0285,37
D0164,F0281,60
D0165,F0109,48
D0166,F0235,62
D0167,F0184,54
D0168,F0144,50
D0169,F0042,49
D0170,F0113,39
D0171,F0196,50
D0172,F0296,54
D0173,F0002,63
D0174,F0216,50
D0175,F0254,63
D0176,F0286,63
D0177,F0128,49
D0178,F0036,47
D0179,F0082,37
D0180,F0256,41
D0181,F0264,61
D0182,F0192,37
D0183,F0037,45
D0184,F0037,55
D0185,F0144,40
D0186,F0177,64
D0187,F0010,53
D0188,F0206,33
D0189,F0164,40
D0190,F0004,56
D0191,F0029,60
D0192,F0137,62
D0193,F0217,60
D0194,F0248,35
D0195,F0130,56
D0196,F0089,36
D0197,F0291,35
D0198,F0138,55
D0199,F0095,48
D0200,F0133,53
D0201,F0004,60
D0202,F0091,35
D0203,F0155,49
D0204,F0276,59
D0205,F0222,47
D0206,F0235,49
D0207,F0164,48
D0208,F0034,62
D0209,F0118,34
D0210,F0300,61
D0211,F0014,59
D0212,F0264,59
D0213,F0206,46
D0214,F0086,49
D0215,F0234,44
D0216,F0252,41
D0217,F0013,61
D0218,F0032,49
D0219,F0200,56
D0220,F0300,36
D0221,F0008,58
D0222,F0200,54
D0223,F0041,64
D0224,F0196,37
D0225,F0187,50
D0226,F0028,49
D0227,F0205,50
D0228,F0270,34
D0229,F0260,48
D0230,F0009,42
D0231,F0074,52
D0232,F0073,40
D0233,F0136,46
D0234,F0043,52
D0235,F0257,35
D0236,F0234,58
D0237,F0243,55
D0238,F0060,34
D0239,F0005,35
D0240,F0274,60
D0241,F0087,42
D0242,F0197,60
D0243,F0273,48
D0244,F0011,43
D0245,F0002,41
D0246,F0002,54
D0247,F0047,36
D0248,F0016,45
D0249,F0246,44
D0250,F0182,37
D0251,F0295,44
D0252,F0241,49
D0253,F0289,54
D0254,F0072,35
D0255,F0087,60
D0256,F0255,61
D0257,F0074,55
D0258,F0018,62
D0259,F0201,46
D0260,F0241,59
D0261,F0291,56
D0262,F0279,51
D0263,F0037,38
D0264,F0232,50
D0265,F0254,61
D0266,F0210,64
D0267,F0246,47
D0268,F0252,40
D0269,F0134,56
D0270,F0013,35
D0271,F0137,37
D0272,F0061,50
D0273,F0035,64
D0274,F0038,43
D0275,F0210,47
D0276,F0152,43
D0277,F0162,47
D0278,F0224,33
D0279,F0165,52
D0280,F0190,52
D0281,F0026,43
D0282,F0256,41
D0283,F0135,57
D0284,F0047,39
D0285,F0244,34
D0286,F0221,34
D0287,F0016,61
D0288,F0058,44
D0289,F0005,36
D0290,F0082,61
D0291,F0030,37
D0292,F0213,43
D0293,F0157,33
D0294,F0295,54
D0295,F0225,55
D0296,F0184,57
D0297,F0153,41
D0298,F0017,43
D0299,F0022,63
D0300,F0185,59
D0301,F0002,34
D0302,F0013,55
D0303,F0066,59
D0304,F0266,50
D0305,F0138,53
D0306,F0213,33
D0307,F0124,33
D0308,F0052,34
D0309,F0112,38
D0310,F0028,64
D0311,F0232,53
D0312,F0056,58
D0313,F0113,42
D0314,F0295,63
D0315,F0178,39
D0316,F0138,61
D0317,F0163,33
D0318,F0236,33
D0319,F0077,35
D0320,F0191,58
D0321,F0262,41
D0322,F0172,47
D0323,F0134,48
D0324,F0044,58
D0325,F0075,44
D0326,F0284,33
D0327,F0163,45
D0328,F0091,42
D0329,F0126,56
D0330,F0174,57
D0331,F0162,35
D0332,F0210,58
D0333,F0078,35
D0334,F0195,52
D0335,F0133,45
D0336,F0283,42
D0337,F0048,48
D0338,F0045,42
D0339,F0139,58
D0340,F0153,63
D0341,F0208,59
D0342,F0122,47
D0343,F0275,49
D0344,F0143,47
D0345,F0039,58
D0346,F0036,50
D0347,F0293,47
D0348,F0041,46
D0349,F0285,45
D0350,F0084,50
D0351,F0029,55
D0352,F0092,46
D0353,F0185,58
D0354,F0129,59
D0355,F0236,46
D0356,F0184,62
D0357,F0121,38
D0358,F0191,62
D0359,F0292,42
D0360,F0124,51
D0361,F0047,42
D0362,F0123,47
D0363,F0253,43
D0364,F0066,55
D0365,F0285,35
D0366,F0177,59
D0367,F0181,61
D0368,F0096,51
D0369,F0277,50
D0370,F0011,55
D0371,F0090,39
D0372,F0126,56
D0373,F0144,39
D0374,F0143,54
D0375,F0045,42
D0376,F0068,56
D0377,F0029,58
D0378,F0172,39
D0379,F0106,52
D0380,F0170,48
D0381,F0177,42
D0382,F0211,51
D0383,F0165,64
D0384,F0195,33
D0385,F0177,63
D0386,F0196,60
D0387,F0185,49
D0388,F0095,52
D0389,F0074,44
D0390,F0237,37
D0391,F0103,51
D0392,F0165,59
D0393,F0060,40
D0394,F0130,55
D0395,F0159,56
D0396,F0188,57
D0397,F0158,43
D0398,F0109,45
D0399,F0289,46
D0400,F0154,60
D0401,F0243,61
D0402,F0222,46
D0403,F0168,64
D0404,F0266,51
D0405,F0039,45
D0406,F0277,33
