product_id,fiscal_year,fc_ratio,note
ALC,FY2030,0.5,LOE後SC比率増加
ALC,FY2031,0.2,LOE後さらにSC化
ALC,default,1.0,FC専用
ADV,default,1.0,PS血液 FC専用
ADY,default,1.0,PS血液 FC専用
CUV,default,0.64,GLI訪問にSC内包（36%SC）
ENT,default,1.0,FC専用
FEI,default,1.0,PS血液 FC専用
FIR,default,1.0,PS遺伝 FC専用
GLI,default,1.0,PDT主力 FC専用
GLO,FY2027,0.3,LOE後GLIのSCに移行
GLO,FY2028,0.1,LOE後さらにSC比率増加
HYQ,default,0.73,GLI訪問にSC内包（27%SC）
INT,default,0.0,TRI訪問のSC100%（独立訪問なし）
LIV,default,1.0,PS血液 FC専用
LVM,default,1.0,PS遺伝 FC専用
Meza,default,1.0,PS遺伝 新製品 FC専用
OVE,FY2026,0.6,発売初年はSC内包多め
OVE,FY2027,0.8,定着期
OVE,default,1.0,FC専用
REV,default,1.0,FC専用
RPL,default,1.0,PS遺伝 FC専用
TAK881,default,1.0,CS 血漿 FC専用
TKZ,default,1.0,PS遺伝 FC専用
TRI,default,1.0,NS主力 FC専用
VON,default,1.0,PS血液 FC専用
VPR,default,0.19,VYV訪問にSC内包（81%SC）
VYV,default,1.0,RS主力 FC専用
Zaso,default,1.0,CS新製品 FC専用
