area,fiscal_year,avg_total_fte,max_total_fte,current_mr,avg_gap
CS,FY2026,380.0,380.02,380,0.0
CS,FY2027,380.0,380.0,380,-0.0
CS,FY2028,380.0,380.0,380,-0.0
CS,FY2029,380.0,380.0,380,-0.0
CS,FY2030,379.99,380.0,380,-0.01
CS,FY2031,380.01,380.03,380,0.01
CS,FY2032,379.98,379.99,380,-0.02
CS,FY2033,380.0,380.01,380,0.0
CS,FY2034,380.0,380.01,380,-0.0
CS,FY2035,380.0,380.0,380,-0.0
PS血液,FY2026,40.0,40.0,40,0.0
PS血液,FY2027,40.0,40.0,40,0.0
PS血液,FY2028,40.0,40.0,40,0.0
PS血液,FY2029,40.0,40.0,40,0.0
PS血液,FY2030,40.0,40.0,40,0.0
PS血液,FY2031,40.0,40.0,40,0.0
PS血液,FY2032,40.0,40.0,40,0.0
PS血液,FY2033,40.0,40.0,40,0.0
PS血液,FY2034,40.0,40.0,40,0.0
PS血液,FY2035,40.0,40.0,40,0.0
PS遺伝,FY2026,25.0,25.0,25,0.0
PS遺伝,FY2027,25.0,25.0,25,0.0
PS遺伝,FY2028,25.0,25.0,25,0.0
PS遺伝,FY2029,25.0,25.0,25,0.0
PS遺伝,FY2030,25.0,25.0,25,0.0
PS遺伝,FY2031,25.0,25.0,25,0.0
PS遺伝,FY2032,25.0,25.0,25,0.0
PS遺伝,FY2033,25.0,25.0,25,0.0
PS遺伝,FY2034,25.0,25.0,25,0.0
PS遺伝,FY2035,25.0,25.0,25,0.0
