product_id,month,area,working_days,target_doctors,r_doctors,w_doctors,r_target_freq,r_achievement,w_target_freq,w_achievement,fc_ratio,fc_weight,visit_frequency,required_calls,base_fte,required_fte,fte_reduction,adjusted_fte,adjusted_mr_fte
GLI,2026-04,CS,21,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,46.42857142857143,46.43,0.0,37.2,37.2
GLI,2026-05,CS,18,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,54.166666666666664,54.17,0.0,37.2,37.2
GLI,2026-06,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,44.31818181818182,44.32,0.0,37.2,37.2
GLI,2026-07,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,44.31818181818182,44.32,0.8384279475982535,37.2,37.2
GLI,2026-08,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,48.75,48.75,0.9042660396372189,37.2,37.2
GLI,2026-09,CS,19,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,51.31578947368421,51.32,0.9324823647967755,37.2,37.2
GLI,2026-10,CS,21,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,46.42857142857143,46.43,0.8249916022841788,36.92,36.92
GLI,2026-11,CS,19,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,51.31578947368421,51.32,0.8935169633859592,36.92,36.92
GLI,2026-12,CS,23,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,42.39130434782609,42.39,0.7215317433658046,36.92,36.92
GLI,2027-01,CS,19,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,51.31578947368421,51.32,0.8545515619751429,36.92,36.92
GLI,2027-02,CS,18,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,54.166666666666664,54.17,0.8814242526032919,36.92,36.92
GLI,2027-03,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,44.31818181818182,44.32,0.7040644944575076,36.92,36.92
GLI,2027-04,CS,21,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,71.42857142857143,71.43,1.6674504534766545,51.92,51.92
GLI,2027-05,CS,18,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,83.33333333333333,83.33,1.9200537453812565,51.92,51.92
GLI,2027-06,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,68.18181818181819,68.18,1.547866980181391,51.92,51.92
GLI,2027-07,CS,21,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,71.42857142857143,71.43,1.5975814578434666,51.92,51.92
GLI,2027-08,CS,21,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,71.42857142857143,71.43,1.57473967080954,51.92,51.92
GLI,2027-09,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,1.6298286865972458,51.92,51.92
GLI,2027-10,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,1.6056432650319117,52.59,52.59
GLI,2027-11,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,1.5801142089351699,52.59,52.59
GLI,2027-12,CS,23,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,65.21739130434783,65.22,1.354383607658717,52.59,52.59
GLI,2028-01,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,1.537117903930131,52.59,52.59
GLI,2028-02,CS,19,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,78.94736842105263,78.95,1.5948941887806518,52.59,52.59
GLI,2028-03,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,68.18181818181819,68.18,1.3611017803157541,52.59,52.59
GLI,2028-04,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,2.2707423580786026,51.77,51.77
GLI,2028-05,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,2.239838763856232,51.77,51.77
GLI,2028-06,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,68.18181818181819,68.18,2.0315754114880757,51.77,51.77
GLI,2028-07,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,2.202216996976823,51.77,51.77
GLI,2028-08,CS,22,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,68.18181818181819,68.18,1.9979845482028893,51.77,51.77
GLI,2028-09,CS,19,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,78.94736842105263,78.95,2.2788041652670477,51.77,51.77
GLI,2028-10,CS,21,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,71.42857142857143,71.43,2.0584481021162246,50.77,50.77
GLI,2028-11,CS,20,4200,1200,3000,2.0,0.75,1.0,0.65,1.0,1.0,0.893,3750.0,75.0,75.0,2.1551897883775615,50.77,50.77
