product_id,area,fiscal_year,optimal_fte
GLI,CS,FY2026,25.0
GLO,CS,FY2026,19.67
CUV,CS,FY2026,34.62
HYQ,CS,FY2026,25.28
INT,CS,FY2026,50.61
TRI,CS,FY2026,51.83
ENT,CS,FY2026,51.83
OVE,CS,FY2026,20.5
REV,CS,FY2026,26.36
ALC,CS,FY2026,21.58
VYV,CS,FY2026,26.36
VPR,CS,FY2026,26.36
TAK881,CS,FY2026,0.0
Zaso,CS,FY2026,0.0
SYN,CS,FY2026,0.0
LVM,PS遺伝,FY2026,8.69
TKZ,PS遺伝,FY2026,7.58
RPL,PS遺伝,FY2026,8.73
FIR,PS遺伝,FY2026,0.0
Meza,PS遺伝,FY2026,0.0
VON,PS血液,FY2026,11.6
LIV,PS血液,FY2026,28.4
FEI,PS血液,FY2026,0.0
ADV,PS血液,FY2026,0.0
ADY,PS血液,FY2026,0.0
KLR,PS血液,FY2026,0.0
GLI,CS,FY2027,25.0
CUV,CS,FY2027,39.29
HYQ,CS,FY2027,28.67
TRI,CS,FY2027,58.73
ENT,CS,FY2027,58.73
OVE,CS,FY2027,23.03
REV,CS,FY2027,30.0
ALC,CS,FY2027,24.54
VYV,CS,FY2027,30.0
VPR,CS,FY2027,30.0
Zaso,CS,FY2027,32.0
GLO,CS,FY2027,0.0
INT,CS,FY2027,0.0
TAK881,CS,FY2027,0.0
SYN,CS,FY2027,0.0
LVM,PS遺伝,FY2027,8.69
TKZ,PS遺伝,FY2027,7.58
RPL,PS遺伝,FY2027,8.73
FIR,PS遺伝,FY2027,0.0
Meza,PS遺伝,FY2027,0.0
VON,PS血液,FY2027,11.6
LIV,PS血液,FY2027,28.4
FEI,PS血液,FY2027,0.0
ADV,PS血液,FY2027,0.0
ADY,PS血液,FY2027,0.0
KLR,PS血液,FY2027,0.0
GLI,CS,FY2028,25.0
HYQ,CS,FY2028,32.23
TRI,CS,FY2028,65.99
ENT,CS,FY2028,65.99
OVE,CS,FY2028,25.69
REV,CS,FY2028,33.83
ALC,CS,FY2028,27.64
VYV,CS,FY2028,33.83
VPR,CS,FY2028,33.83
Zaso,CS,FY2028,35.98
GLO,CS,FY2028,0.0
CUV,CS,FY2028,0.0
INT,CS,FY2028,0.0
TAK881,CS,FY2028,0.0
SYN,CS,FY2028,0.0
LVM,PS遺伝,FY2028,8.69
TKZ,PS遺伝,FY2028,7.58
RPL,PS遺伝,FY2028,8.73
FIR,PS遺伝,FY2028,0.0
Meza,PS遺伝,FY2028,0.0
VON,PS血液,FY2028,11.6
LIV,PS血液,FY2028,28.4
FEI,PS血液,FY2028,0.0
ADV,PS血液,FY2028,0.0
ADY,PS血液,FY2028,0.0
KLR,PS血液,FY2028,0.0
GLI,CS,FY2029,25.0
