product_id,area,fiscal_year,avg_required_fte,max_required_fte
ALC,CS,FY2026,22.38,23.52
ALC,CS,FY2027,18.86,20.92
ALC,CS,FY2028,9.81,10.65
ALC,CS,FY2029,0.13,0.26
ALC,CS,FY2030,0.0,0.0
ALC,CS,FY2031,0.0,0.0
ALC,CS,FY2032,0.0,0.0
ALC,CS,FY2033,0.0,0.0
ALC,CS,FY2034,0.0,0.0
ALC,CS,FY2035,0.0,0.0
CUV,CS,FY2026,31.82,31.99
CUV,CS,FY2027,29.72,30.11
CUV,CS,FY2028,30.2,30.37
CUV,CS,FY2029,33.26,34.51
CUV,CS,FY2030,36.74,38.21
CUV,CS,FY2031,45.73,47.58
CUV,CS,FY2032,60.2,61.81
CUV,CS,FY2033,77.42,77.56
CUV,CS,FY2034,77.58,77.59
CUV,CS,FY2035,77.6,77.6
ENT,CS,FY2026,64.02,64.05
ENT,CS,FY2027,58.28,58.66
ENT,CS,FY2028,67.85,69.88
ENT,CS,FY2029,65.13,66.69
ENT,CS,FY2030,67.94,70.53
ENT,CS,FY2031,66.75,67.21
ENT,CS,FY2032,51.28,51.63
ENT,CS,FY2033,51.52,51.73
ENT,CS,FY2034,51.9,51.96
ENT,CS,FY2035,52.12,52.17
GLI,CS,FY2026,39.96,40.06
GLI,CS,FY2027,58.21,59.0
GLI,CS,FY2028,59.24,59.58
GLI,CS,FY2029,65.5,67.97
GLI,CS,FY2030,72.45,75.34
GLI,CS,FY2031,90.26,93.91
GLI,CS,FY2032,118.9,122.11
GLI,CS,FY2033,153.02,153.35
GLI,CS,FY2034,153.58,153.65
GLI,CS,FY2035,153.84,153.9
GLO,CS,FY2026,4.14,4.8
GLO,CS,FY2027,0.0,0.0
GLO,CS,FY2028,0.0,0.0
GLO,CS,FY2029,0.0,0.0
GLO,CS,FY2030,0.0,0.0
GLO,CS,FY2031,0.0,0.0
GLO,CS,FY2032,0.0,0.0
GLO,CS,FY2033,0.0,0.0
GLO,CS,FY2034,0.0,0.0
GLO,CS,FY2035,0.0,0.0
HYQ,CS,FY2026,23.66,23.82
HYQ,CS,FY2027,22.16,22.45
HYQ,CS,FY2028,22.51,22.63
HYQ,CS,FY2029,24.94,25.86
HYQ,CS,FY2030,27.52,28.6
HYQ,CS,FY2031,34.22,35.58
HYQ,CS,FY2032,44.95,46.13
HYQ,CS,FY2033,57.72,57.82
HYQ,CS,FY2034,57.83,57.83
HYQ,CS,FY2035,57.84,57.84
INT,CS,FY2026,1.47,2.5
INT,CS,FY2027,0.0,0.0
INT,CS,FY2028,0.0,0.0
INT,CS,FY2029,0.0,0.0
INT,CS,FY2030,0.0,0.0
INT,CS,FY2031,0.0,0.0
INT,CS,FY2032,0.0,0.0
INT,CS,FY2033,0.0,0.0
INT,CS,FY2034,0.0,0.0
INT,CS,FY2035,0.0,0.0
LIV,CS,FY2026,39.06,39.11
LIV,CS,FY2027,39.16,43.06
LIV,CS,FY2028,36.46,37.87
LIV,CS,FY2029,37.44,38.56
LIV,CS,FY2030,36.92,37.45
LIV,CS,FY2031,35.99,36.98
LIV,CS,FY2032,22.56,24.08
LIV,CS,FY2033,0.0,0.0
LIV,CS,FY2034,0.0,0.0
LIV,CS,FY2035,0.0,0.0
LVM,PS,FY2026,12.46,12.53
LVM,PS,FY2027,12.79,13.19
LVM,PS,FY2028,12.81,13.31
LVM,PS,FY2029,12.98,13.2
LVM,PS,FY2030,13.54,13.65
LVM,PS,FY2031,14.01,14.13
LVM,PS,FY2032,15.6,15.6
LVM,PS,FY2033,15.6,15.6
LVM,PS,FY2034,15.6,15.6
LVM,PS,FY2035,15.6,15.6
OVE,CS,FY2026,9.64,12.84
OVE,CS,FY2027,11.93,12.08
OVE,CS,FY2028,11.19,11.41
OVE,CS,FY2029,11.71,11.9
OVE,CS,FY2030,11.34,11.35
OVE,CS,FY2031,11.96,12.03
OVE,CS,FY2032,13.0,13.3
OVE,CS,FY2033,14.06,14.53
OVE,CS,FY2034,13.38,13.42
OVE,CS,FY2035,13.2,13.25
REV,CS,FY2026,36.45,36.56
REV,CS,FY2027,32.87,33.01
REV,CS,FY2028,35.86,37.7
REV,CS,FY2029,34.02,34.96
REV,CS,FY2030,34.6,34.78
REV,CS,FY2031,34.43,35.23
REV,CS,FY2032,22.97,24.32
REV,CS,FY2033,0.0,0.0
REV,CS,FY2034,0.0,0.0
REV,CS,FY2035,0.0,0.0
RPL,PS,FY2026,12.58,12.6
RPL,PS,FY2027,12.3,12.44
RPL,PS,FY2028,13.09,14.1
RPL,PS,FY2029,13.42,13.57
RPL,PS,FY2030,13.6,13.71
RPL,PS,FY2031,14.07,14.2
RPL,PS,FY2032,15.67,15.67
RPL,PS,FY2033,15.67,15.67
RPL,PS,FY2034,15.67,15.67
RPL,PS,FY2035,15.67,15.67
TKZ,PS,FY2026,8.71,8.77
TKZ,PS,FY2027,9.11,9.24
TKZ,PS,FY2028,7.62,7.78
TKZ,PS,FY2029,7.18,7.42
TKZ,PS,FY2030,5.96,6.29
TKZ,PS,FY2031,4.58,4.94
TKZ,PS,FY2032,0.0,0.0
TKZ,PS,FY2033,0.0,0.0
TKZ,PS,FY2034,0.0,0.0
TKZ,PS,FY2035,0.0,0.0
TRI,CS,FY2026,64.22,64.63
TRI,CS,FY2027,66.65,71.08
TRI,CS,FY2028,56.04,56.94
TRI,CS,FY2029,50.45,54.71
TRI,CS,FY2030,37.92,39.71
TRI,CS,FY2031,4.05,8.1
TRI,CS,FY2032,0.0,0.0
TRI,CS,FY2033,0.0,0.0
TRI,CS,FY2034,0.0,0.0
TRI,CS,FY2035,0.0,0.0
VON,PS,FY2026,11.24,11.27
VON,PS,FY2027,10.8,10.93
VON,PS,FY2028,11.48,11.83
VON,PS,FY2029,11.42,11.61
VON,PS,FY2030,11.91,12.01
VON,PS,FY2031,12.33,12.44
VON,PS,FY2032,13.73,13.73
VON,PS,FY2033,13.73,13.73
VON,PS,FY2034,13.73,13.73
VON,PS,FY2035,13.73,13.73
VPR,CS,FY2026,7.7,7.88
VPR,CS,FY2027,7.14,7.72
VPR,CS,FY2028,6.53,6.8
VPR,CS,FY2029,5.82,5.85
VPR,CS,FY2030,5.1,5.25
VPR,CS,FY2031,4.59,4.8
VPR,CS,FY2032,1.08,2.16
VPR,CS,FY2033,0.0,0.0
VPR,CS,FY2034,0.0,0.0
VPR,CS,FY2035,0.0,0.0
VYV,CS,FY2026,35.51,35.53
VYV,CS,FY2027,31.71,31.83
VYV,CS,FY2028,41.0,42.05
VYV,CS,FY2029,33.1,34.49
VYV,CS,FY2030,29.4,29.81
VYV,CS,FY2031,28.7,29.48
VYV,CS,FY2032,20.09,21.42
VYV,CS,FY2033,0.0,0.0
VYV,CS,FY2034,0.0,0.0
VYV,CS,FY2035,0.0,0.0
WSA,CS,FY2026,0.0,0.0
WSA,CS,FY2027,0.0,0.0
WSA,CS,FY2028,0.0,0.0
WSA,CS,FY2029,15.11,15.46
WSA,CS,FY2030,16.3,16.68
WSA,CS,FY2031,19.88,20.24
WSA,CS,FY2032,21.46,22.15
WSA,CS,FY2033,22.0,22.29
WSA,CS,FY2034,21.52,21.58
WSA,CS,FY2035,21.25,21.32
Zaso,CS,FY2026,0.0,0.0
Zaso,CS,FY2027,3.3,3.3
Zaso,CS,FY2028,3.28,3.31
Zaso,CS,FY2029,3.38,3.44
Zaso,CS,FY2030,3.76,3.93
Zaso,CS,FY2031,3.42,3.5
Zaso,CS,FY2032,3.51,3.58
Zaso,CS,FY2033,4.25,4.26
Zaso,CS,FY2034,4.2,4.22
Zaso,CS,FY2035,4.15,4.16
