product_id,activity_type,coef_mn_per_act,marginal_man_yen,cost_man_yen,roi
ALC,面談,-0.021521,-2.15,0.3906,-5.51
ALC,面談_アポ,-0.0011,-0.11,0.5469,-0.2
ALC,説明会,-0.034132,-3.41,0.1953,-17.48
ALC,Web講演会,-0.0117,-1.17,0.1562,-7.49
ALC,メール,0.019128,1.91,0.0625,30.61
ALC,Web面談,0.005132,0.51,0.3516,1.46
CUV,面談,-0.014006,-1.4,0.3906,-3.59
CUV,面談_アポ,-0.048459,-4.85,0.5469,-8.86
CUV,説明会,0.028137,2.81,0.1953,14.41
CUV,Web講演会,-0.027465,-2.75,0.1562,-17.58
CUV,メール,-0.013301,-1.33,0.0625,-21.28
CUV,Web面談,-0.017458,-1.75,0.3516,-4.97
ENT,面談,-0.083627,-8.36,0.3906,-21.41
ENT,面談_アポ,-0.090777,-9.08,0.5469,-16.6
ENT,説明会,0.038683,3.87,0.1953,19.81
ENT,Web講演会,-0.020186,-2.02,0.1562,-12.92
ENT,メール,-0.090094,-9.01,0.0625,-144.15
ENT,Web面談,0.114752,11.48,0.3516,32.64
GLI,面談,-0.006605,-0.66,0.3906,-1.69
GLI,面談_アポ,-0.142757,-14.28,0.5469,-26.1
GLI,説明会,-0.200716,-20.07,0.1953,-102.77
GLI,Web講演会,0.186601,18.66,0.1562,119.46
GLI,メール,-0.113523,-11.35,0.0625,-181.64
GLI,Web面談,-0.02421,-2.42,0.3516,-6.89
HYQ,面談,0.00819,0.82,0.3906,2.1
HYQ,面談_アポ,-0.023009,-2.3,0.5469,-4.21
HYQ,説明会,-0.002613,-0.26,0.1953,-1.34
HYQ,Web講演会,0.04649,4.65,0.1562,29.76
HYQ,メール,-0.018944,-1.89,0.0625,-30.31
HYQ,Web面談,-0.01503,-1.5,0.3516,-4.27
INT,面談,0.0,0.0,0.3906,0.0
INT,面談_アポ,0.0,0.0,0.5469,0.0
INT,説明会,0.0,0.0,0.1953,0.0
INT,Web講演会,0.0,0.0,0.1562,0.0
INT,メール,0.0,0.0,0.0625,0.0
INT,Web面談,0.0,0.0,0.3516,0.0
LIV,面談,-0.013547,-1.35,0.3906,-3.47
LIV,面談_アポ,-0.032433,-3.24,0.5469,-5.93
LIV,説明会,-0.069732,-6.97,0.1953,-35.7
LIV,Web講演会,0.051859,5.19,0.1562,33.2
LIV,メール,-0.058112,-5.81,0.0625,-92.98
LIV,Web面談,-0.115637,-11.56,0.3516,-32.89
LVM,面談,-0.214239,-21.42,0.3906,-54.85
LVM,面談_アポ,0.017039,1.7,0.5469,3.12
LVM,説明会,-0.424296,-42.43,0.1953,-217.25
LVM,Web講演会,-0.049396,-4.94,0.1562,-31.62
LVM,メール,-0.174803,-17.48,0.0625,-279.69
LVM,Web面談,-0.025208,-2.52,0.3516,-7.17
REV,面談,-0.04238,-4.24,0.3906,-10.85
REV,面談_アポ,0.006657,0.67,0.5469,1.22
REV,説明会,-0.129286,-12.93,0.1953,-66.2
REV,Web講演会,-0.020474,-2.05,0.1562,-13.11
REV,メール,-0.097617,-9.76,0.0625,-156.19
REV,Web面談,-0.055796,-5.58,0.3516,-15.87
TRI,面談,-0.06469,-6.47,0.3906,-16.56
TRI,面談_アポ,-0.017258,-1.73,0.5469,-3.16
TRI,説明会,-0.042541,-4.25,0.1953,-21.78
TRI,Web講演会,-0.068229,-6.82,0.1562,-43.68
TRI,メール,-0.043537,-4.35,0.0625,-69.66
TRI,Web面談,-0.109544,-10.95,0.3516,-31.16
VYV,面談,-0.017313,-1.73,0.3906,-4.43
VYV,面談_アポ,0.055716,5.57,0.5469,10.19
VYV,説明会,0.105816,10.58,0.1953,54.18
VYV,Web講演会,-0.140385,-14.04,0.1562,-89.88
VYV,メール,0.042326,4.23,0.0625,67.72
VYV,Web面談,0.035131,3.51,0.3516,9.99
OVE,面談,0.724294,72.43,0.3906,185.43
OVE,面談_アポ,0.643368,64.34,0.5469,117.64
OVE,説明会,0.634633,63.46,0.1953,324.95
OVE,Web講演会,0.863188,86.32,0.1562,552.62
OVE,メール,0.563332,56.33,0.0625,901.33
OVE,Web面談,0.783357,78.34,0.3516,222.8
VPR,面談,-0.047785,-4.78,0.3906,-12.23
VPR,面談_アポ,-0.053877,-5.39,0.5469,-9.85
VPR,説明会,0.021658,2.17,0.1953,11.09
VPR,Web講演会,0.044829,4.48,0.1562,28.7
VPR,メール,-0.026677,-2.67,0.0625,-42.68
VPR,Web面談,-0.008479,-0.85,0.3516,-2.41
