product_id,FY2026,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2033,FY2034,FY2035
GLI,18000,16000,14000,12000,10000,8000,6000,4000,3000,2500
GLO,4000,0,0,0,0,0,0,0,0,0
CUV,8000,7500,7000,6500,6000,5500,5000,4500,4000,3500
HYQ,4000,3800,3500,3200,2900,2600,2300,2000,1800,1600
INT,12000,0,0,0,0,0,0,0,0,0
TRI,14000,11000,8000,5000,2000,500,0,0,0,0
ENT,20000,18000,16000,14000,12000,10000,8000,7000,6500,6000
OVE,2000,12000,22000,28000,30000,30000,29000,27000,25000,23000
REV,7500,6500,5500,4500,3500,3000,2500,2000,1800,1500
ALC,4000,3200,2500,500,0,0,0,0,0,0
VYV,5000,5500,6000,6500,7000,7000,6500,6000,5500,5000
VPR,4500,4000,3500,3000,2500,2200,2000,1800,1600,1400
TAK881,0,0,5000,10000,15000,18000,20000,20000,18000,16000
Zaso,0,3000,8000,14000,18000,22000,24000,24000,22000,20000
LVM,15000,14000,13000,12000,11000,10000,9000,8000,7000,6000
TKZ,3000,4000,5000,6000,7000,7500,8000,8000,8000,7500
RPL,0,2000,4000,6000,8000,10000,12000,13000,14000,14000
FIR,4000,3500,3000,2500,2000,1500,1000,500,500,0
Meza,0,0,0,4000,9000,14000,18000,20000,20000,19000
VON,0,0,2000,4000,6500,9000,11000,13000,14000,14000
LIV,9000,8000,7000,6000,5000,4500,4000,3500,3000,2500
FEI,5000,4500,4000,3500,3000,2500,2000,500,0,0
ADV,6000,5000,4000,3000,2000,1500,1000,800,600,500
ADY,3000,5000,7000,9000,11000,12000,12000,11000,10000,9000
