product_id,rw_flag,facility_id,facility_name,doctor_id,doctor_name
ALC,R,F0110,医療機関0110,D2501,医師_D2501
ALC,R,F0229,医療機関0229,D2512,医師_D2512
ALC,R,F0142,医療機関0142,D2523,医師_D2523
ALC,R,F0185,医療機関0185,D2524,医師_D2524
ALC,R,F0250,医療機関0250,D2527,医師_D2527
ALC,R,F0152,医療機関0152,D2529,医師_D2529
ALC,R,F0139,医療機関0139,D2532,医師_D2532
ALC,R,F0229,医療機関0229,D2533,医師_D2533
ALC,R,F0025,医療機関0025,D2534,医師_D2534
ALC,R,F0123,医療機関0123,D2542,医師_D2542
ALC,R,F0230,医療機関0230,D2545,医師_D2545
ALC,R,F0166,医療機関0166,D2546,医師_D2546
ALC,R,F0060,医療機関0060,D2553,医師_D2553
ALC,R,F0039,医療機関0039,D2565,医師_D2565
ALC,R,F0282,医療機関0282,D2572,医師_D2572
ALC,R,F0299,医療機関0299,D2575,医師_D2575
ALC,R,F0168,医療機関0168,D2576,医師_D2576
ALC,R,F0230,医療機関0230,D2587,医師_D2587
ALC,R,F0018,医療機関0018,D2589,医師_D2589
ALC,R,F0001,医療機関0001,D2591,医師_D2591
ALC,R,F0202,医療機関0202,D2593,医師_D2593
ALC,R,F0058,医療機関0058,D2594,医師_D2594
ALC,R,F0222,医療機関0222,D2595,医師_D2595
ALC,R,F0294,医療機関0294,D2599,医師_D2599
ALC,R,F0274,医療機関0274,D2602,医師_D2602
ALC,R,F0090,医療機関0090,D2605,医師_D2605
ALC,R,F0127,医療機関0127,D2609,医師_D2609
ALC,R,F0071,医療機関0071,D2610,医師_D2610
ALC,R,F0103,医療機関0103,D2613,医師_D2613
ALC,R,F0002,医療機関0002,D2617,医師_D2617
ALC,R,F0076,医療機関0076,D2622,医師_D2622
ALC,R,F0233,医療機関0233,D2624,医師_D2624
ALC,R,F0251,医療機関0251,D2630,医師_D2630
ALC,R,F0203,医療機関0203,D2633,医師_D2633
ALC,R,F0110,医療機関0110,D2637,医師_D2637
ALC,R,F0063,医療機関0063,D2641,医師_D2641
ALC,R,F0063,医療機関0063,D2642,医師_D2642
ALC,R,F0270,医療機関0270,D2643,医師_D2643
ALC,R,F0243,医療機関0243,D2646,医師_D2646
ALC,R,F0231,医療機関0231,D2647,医師_D2647
ALC,R,F0027,医療機関0027,D2648,医師_D2648
ALC,R,F0043,医療機関0043,D2649,医師_D2649
ALC,R,F0119,医療機関0119,D2650,医師_D2650
ALC,R,F0052,医療機関0052,D2657,医師_D2657
ALC,R,F0170,医療機関0170,D2659,医師_D2659
ALC,R,F0131,医療機関0131,D2661,医師_D2661
ALC,R,F0144,医療機関0144,D2662,医師_D2662
ALC,R,F0223,医療機関0223,D2663,医師_D2663
ALC,R,F0259,医療機関0259,D2664,医師_D2664
ALC,R,F0193,医療機関0193,D2666,医師_D2666
ALC,R,F0278,医療機関0278,D2676,医師_D2676
ALC,R,F0027,医療機関0027,D2681,医師_D2681
ALC,R,F0191,医療機関0191,D2701,医師_D2701
ALC,R,F0181,医療機関0181,D2703,医師_D2703
ALC,R,F0008,医療機関0008,D2709,医師_D2709
ALC,R,F0069,医療機関0069,D2736,医師_D2736
ALC,R,F0157,医療機関0157,D2737,医師_D2737
ALC,R,F0163,医療機関0163,D2741,医師_D2741
ALC,R,F0186,医療機関0186,D2744,医師_D2744
ALC,R,F0181,医療機関0181,D2747,医師_D2747
ALC,R,F0235,医療機関0235,D2750,医師_D2750
ALC,R,F0282,医療機関0282,D2752,医師_D2752
ALC,R,F0133,医療機関0133,D2756,医師_D2756
ALC,R,F0036,医療機関0036,D2770,医師_D2770
ALC,R,F0258,医療機関0258,D2779,医師_D2779
ALC,R,F0237,医療機関0237,D2782,医師_D2782
ALC,R,F0289,医療機関0289,D2783,医師_D2783
ALC,R,F0274,医療機関0274,D2784,医師_D2784
ALC,R,F0240,医療機関0240,D2785,医師_D2785
ALC,R,F0233,医療機関0233,D2787,医師_D2787
ALC,R,F0157,医療機関0157,D2792,医師_D2792
ALC,R,F0239,医療機関0239,D2796,医師_D2796
