product_id,fiscal_year,r_doctors,w_doctors
GLO,FY2026,120,360
GLO,FY2027,30,90
GLO,FY2028,0,0
GLO,FY2029,0,0
GLO,FY2030,0,0
GLO,FY2031,0,0
GLO,FY2032,0,0
GLO,FY2033,0,0
GLO,FY2034,0,0
GLO,FY2035,0,0
OVE,FY2026,70,210
OVE,FY2027,150,450
OVE,FY2028,220,660
OVE,FY2029,260,760
OVE,FY2030,280,820
Zaso,FY2027,30,90
Zaso,FY2028,55,165
Zaso,FY2029,70,210
Zaso,FY2030,75,225
WSA,FY2029,80,240
WSA,FY2030,150,450
WSA,FY2031,240,720
WSA,FY2032,300,890
INT,FY2026,1400,4000
INT,FY2027,0,0
INT,FY2028,0,0
INT,FY2029,0,0
INT,FY2030,0,0
INT,FY2031,0,0
INT,FY2032,0,0
INT,FY2033,0,0
INT,FY2034,0,0
INT,FY2035,0,0
ALC,FY2028,400,1300
ALC,FY2029,150,450
ALC,FY2030,0,0
ALC,FY2031,0,0
ALC,FY2032,0,0
ALC,FY2033,0,0
ALC,FY2034,0,0
ALC,FY2035,0,0
TRI,FY2031,700,2000
TRI,FY2032,0,0
TRI,FY2033,0,0
TRI,FY2034,0,0
TRI,FY2035,0,0
ENT,FY2032,900,2500
ENT,FY2033,715,2035
ENT,FY2034,715,2035
ENT,FY2035,715,2035
VPR,FY2032,350,1100
VPR,FY2033,0,0
VPR,FY2034,0,0
VPR,FY2035,0,0
LIV,FY2032,550,1500
LIV,FY2033,0,0
LIV,FY2034,0,0
LIV,FY2035,0,0
REV,FY2032,500,1400
REV,FY2033,0,0
REV,FY2034,0,0
REV,FY2035,0,0
VYV,FY2032,450,1350
VYV,FY2033,0,0
VYV,FY2034,0,0
VYV,FY2035,0,0
TKZ,FY2032,75,225
TKZ,FY2033,0,0
TKZ,FY2034,0,0
TKZ,FY2035,0,0
