product_id,fiscal_year,rw_tier,target_freq,achievement_rate
ALC,FY2026,R,2.0,0.75
ALC,FY2026,W,1.0,0.65
ALC,FY2027,R,2.0,0.75
ALC,FY2027,W,1.0,0.65
ALC,FY2028,R,2.0,0.75
ALC,FY2028,W,1.0,0.65
ALC,FY2029,R,2.0,0.75
ALC,FY2029,W,1.0,0.65
ALC,FY2030,R,0.0,0.0
ALC,FY2030,W,0.0,0.0
ALC,FY2031,R,0.0,0.0
ALC,FY2031,W,0.0,0.0
ALC,FY2032,R,0.0,0.0
ALC,FY2032,W,0.0,0.0
ALC,FY2033,R,0.0,0.0
ALC,FY2033,W,0.0,0.0
ALC,FY2034,R,0.0,0.0
ALC,FY2034,W,0.0,0.0
ALC,FY2035,R,0.0,0.0
ALC,FY2035,W,0.0,0.0
CUV,FY2026,R,2.0,0.75
CUV,FY2026,W,1.0,0.65
CUV,FY2027,R,2.0,0.75
CUV,FY2027,W,1.0,0.65
CUV,FY2028,R,2.0,0.75
CUV,FY2028,W,1.0,0.65
CUV,FY2029,R,2.0,0.75
CUV,FY2029,W,1.0,0.65
CUV,FY2030,R,2.0,0.75
CUV,FY2030,W,1.0,0.65
CUV,FY2031,R,2.0,0.75
CUV,FY2031,W,1.0,0.65
CUV,FY2032,R,2.0,0.75
CUV,FY2032,W,1.0,0.65
CUV,FY2033,R,2.0,0.75
CUV,FY2033,W,1.0,0.65
CUV,FY2034,R,2.0,0.75
CUV,FY2034,W,1.0,0.65
CUV,FY2035,R,2.0,0.75
CUV,FY2035,W,1.0,0.65
ENT,FY2026,R,2.0,0.75
ENT,FY2026,W,1.0,0.65
ENT,FY2027,R,2.0,0.75
ENT,FY2027,W,1.0,0.65
ENT,FY2028,R,2.0,0.75
ENT,FY2028,W,1.0,0.65
ENT,FY2029,R,2.0,0.75
ENT,FY2029,W,1.0,0.65
ENT,FY2030,R,2.0,0.75
ENT,FY2030,W,1.0,0.65
ENT,FY2031,R,2.0,0.75
ENT,FY2031,W,1.0,0.65
ENT,FY2032,R,2.0,0.75
ENT,FY2032,W,1.0,0.65
ENT,FY2033,R,1.5,0.65
ENT,FY2033,W,0.8,0.55
ENT,FY2034,R,1.5,0.65
ENT,FY2034,W,0.8,0.55
ENT,FY2035,R,1.5,0.65
ENT,FY2035,W,0.8,0.55
GLI,FY2026,R,2.0,0.75
GLI,FY2026,W,1.0,0.65
GLI,FY2027,R,2.0,0.75
GLI,FY2027,W,1.0,0.65
GLI,FY2028,R,2.0,0.75
GLI,FY2028,W,1.0,0.65
GLI,FY2029,R,2.0,0.75
GLI,FY2029,W,1.0,0.65
GLI,FY2030,R,2.0,0.75
GLI,FY2030,W,1.0,0.65
GLI,FY2031,R,2.0,0.75
GLI,FY2031,W,1.0,0.65
GLI,FY2032,R,2.0,0.75
GLI,FY2032,W,1.0,0.65
GLI,FY2033,R,2.0,0.75
GLI,FY2033,W,1.0,0.65
