year_month,working_days
2026-04,21
2026-05,18
2026-06,22
2026-07,22
2026-08,20
2026-09,19
2026-10,21
2026-11,19
2026-12,23
2027-01,19
2027-02,18
2027-03,22
2027-04,21
2027-05,18
2027-06,22
2027-07,21
2027-08,21
2027-09,20
2027-10,20
2027-11,20
2027-12,23
2028-01,20
2028-02,19
2028-03,22
2028-04,20
2028-05,20
2028-06,22
2028-07,20
2028-08,22
2028-09,19
2028-10,21
2028-11,20
2028-12,21
2029-01,21
2029-02,18
2029-03,21
2029-04,20
2029-05,21
2029-06,21
2029-07,21
2029-08,23
2029-09,18
2029-10,22
2029-11,21
2029-12,21
2030-01,21
2030-02,19
2030-03,20
2030-04,21
2030-05,21
2030-06,20
2030-07,22
2030-08,21
2030-09,19
2030-10,22
2030-11,20
2030-12,22
2031-01,21
2031-02,18
2031-03,20
2031-04,21
2031-05,20
2031-06,21
2031-07,22
2031-08,20
2031-09,20
2031-10,22
2031-11,18
2031-12,23
2032-01,20
2032-02,18
2032-03,23
2032-04,21
2032-05,18
2032-06,22
2032-07,21
2032-08,21
2032-09,19
2032-10,20
2032-11,20
2032-12,23
2033-01,20
2033-02,18
2033-03,22
2033-04,20
2033-05,19
2033-06,22
2033-07,20
2033-08,22
2033-09,20
2033-10,20
2033-11,20
2033-12,22
2034-01,20
2034-02,19
2034-03,22
2034-04,20
2034-05,20
2034-06,22
2034-07,20
2034-08,22
2034-09,20
2034-10,21
2034-11,20
2034-12,21
2035-01,21
2035-02,18
2035-03,21
2035-04,20
2035-05,21
2035-06,21
2035-07,21
2035-08,23
2035-09,18
2035-10,22
2035-11,21
2035-12,21
2036-01,21
2036-02,20
2036-03,20
